queue,run_name,case_id,case_label,section,bench_with_compute_s,bench_no_midcomm_s,compute_s,fixed_mock_window_no_s,fixed_mock_window_with_s,comm_window_s,measured_window_s,ideal_s,serial_s,overhead_ratio,overlap_ratio
cm4_inter,run_2_samll_mess_inter,05,async1_c4_waitall,mpi  seq,3.482143,1.971365,1.324135,0.222915,0.293598,0.333112,1.333910,1.324135,1.657247,0.029344,0.970656
cm4_inter,run_2_samll_mess_inter,05,async1_c4_waitall,mpi  omp,1.231512,1.040137,0.283486,0.173143,0.183394,0.188344,0.300090,0.283486,0.471831,0.088153,0.911847
cm4_inter,run_2_samll_mess_inter,06,async1_c1_testall,mock seq,4.075240,2.931139,1.086834,0.000000,0.000000,0.422273,1.517802,1.086834,1.509107,1.020591,-0.020591
cm4_inter,run_2_samll_mess_inter,06,async1_c1_testall,mock omp,4.623256,2.949147,1.132539,0.000000,0.000000,0.425762,1.611292,1.132539,1.558301,1.124460,-0.124460
cm4_inter,run_2_samll_mess_inter,06,async1_c1_testall,mpi  seq,4.530649,3.401586,1.164769,0.422273,0.430968,0.423201,1.310432,1.164769,1.587970,0.344193,0.655807
cm4_inter,run_2_samll_mess_inter,06,async1_c1_testall,mpi  omp,4.650122,3.669893,1.117633,0.425762,0.478753,0.561436,1.296093,1.117633,1.679068,0.317865,0.682135
cm4_inter,run_2_samll_mess_inter,07,async1_c4_testall,mock seq,3.507354,1.888007,1.084355,0.000000,0.000000,0.245867,1.379499,1.084355,1.330222,1.200422,-0.200422
cm4_inter,run_2_samll_mess_inter,07,async1_c4_testall,mock omp,1.168945,0.941772,0.275300,0.000000,0.000000,0.148807,0.449574,0.275300,0.424107,1.171143,-0.171143
cm4_inter,run_2_samll_mess_inter,07,async1_c4_testall,mpi  seq,3.400432,1.921907,1.283140,0.245867,0.295144,0.290238,1.286399,1.283140,1.573378,0.011231,0.988769
cm4_inter,run_2_samll_mess_inter,07,async1_c4_testall,mpi  omp,1.194117,1.137207,0.281304,0.148807,0.174274,0.247920,0.295749,0.281304,0.529224,0.058264,0.941736
cm4_inter,run_5_more_omp8_big_mes,01,async0_c8_waitall,mock seq,2.033621,1.464078,0.529233,0.000000,0.000000,0.203078,0.734749,0.529233,0.732311,1.012008,-0.012008
cm4_inter,run_5_more_omp8_big_mes,01,async0_c8_waitall,mock omp,0.639909,0.526480,0.117854,0.000000,0.000000,0.130601,0.234115,0.130601,0.248456,0.878322,0.121678
cm4_inter,run_5_more_omp8_big_mes,01,async0_c8_waitall,mpi  seq,2.180470,1.585339,0.558991,0.203078,0.205516,0.164068,0.700178,0.558991,0.723060,0.860534,0.139466
cm4_inter,run_5_more_omp8_big_mes,01,async0_c8_waitall,mpi  omp,0.790397,0.684501,0.116966,0.130601,0.116261,0.157064,0.273700,0.157064,0.274030,0.997179,0.002821
cm4_inter,run_5_more_omp8_big_mes,05,async1_c8_waitall,mock seq,3.235067,1.898010,1.066299,0.000000,0.000000,0.235285,1.347702,1.066299,1.301583,1.196012,-0.196012
cm4_inter,run_5_more_omp8_big_mes,05,async1_c8_waitall,mock omp,0.808069,0.574838,0.132274,0.000000,0.000000,0.157220,0.326732,0.157220,0.289494,1.281526,-0.281526
cm4_inter,run_5_more_omp8_big_mes,05,async1_c8_waitall,mpi  seq,3.487027,2.236714,1.323418,0.235285,0.281403,0.484792,1.352593,1.323418,1.808210,0.060181,0.939819
cm4_inter,run_5_more_omp8_big_mes,05,async1_c8_waitall,mpi  omp,0.928829,0.795824,0.126608,0.157220,0.194458,0.226499,0.244882,0.226499,0.353108,0.145194,0.854806
